_id,PX,MAIN_STREET,MIDBLOCK_ROUTE,SIDE1_STREET,SIDE2_STREET,PRIVATE_ACCESS,ADDITIONAL_INFO,ACTIVATIONDATE,SIGNALSYSTEM,NON_SYSTEM,CONTROL_MODE,PEDWALKSPEED,APS_OPERATION,NUMBEROFAPPROACHES,OBJECTID,GEO_ID,NODE_ID,AUDIBLEPEDSIGNAL,TRANSIT_PREEMPT,FIRE_PREEMPT,RAIL_PREEMPT,MI_PRINX,BICYCLE_SIGNAL,UPS,LED_BLANKOUT_SIGN,LPI_NORTH_IMPLEMENTATION_DATE,LPI_SOUTH_IMPLEMENTATION_DATE,LPI_EAST_IMPLEMENTATION_DATE,LPI_WEST_IMPLEMENTATION_DATE,LPI_COMMENT,geometry
1015,1019,GERRARD ST E,None,ONTARIO ST,None,None,None,1972-11-17T00:00:00,TransSuite,None,PA - IPS,1.0 m/s (FDW based on full crossing @1.2m/s),None,2,1015,7673901,13464815,,,,,1015,,,,,,2020-12-22T00:00:00,2020-12-22T00:00:00,Ped Signal- NO NS LPI required,"{""coordinates"": [[-79.3697169978783, 43.66178099669681]], ""type"": ""MultiPoint""}"
1016,1020,MCCOWAN RD,None,PITFIELD RD,INVERGORDON AVE,None,None,1973-11-14T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1016,106625,13444903,,,,,1016,,,,2021-12-30T00:00:00,2021-12-30T00:00:00,2026-01-12T00:00:00,2026-01-12T00:00:00,None,"{""coordinates"": [[-79.25728100393471, 43.78739199899477]], ""type"": ""MultiPoint""}"
1017,1021,KENNEDY RD,None,FINCH AVE E,None,None,None,1973-09-28T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1017,3369829,13443302,,,,,1017,,,,2024-12-11T00:00:00,2024-12-11T00:00:00,2024-12-11T00:00:00,2024-12-11T00:00:00,None,"{""coordinates"": [[-79.2965980045827, 43.801267997864265]], ""type"": ""MultiPoint""}"
1018,1022,DAVENPORT RD,None,LAUGHTON AVE,None,None,None,1973-10-16T00:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1018,2216186,13463602,1,,,,1018,,,,,,2018-09-20T00:00:00,2018-09-20T00:00:00,North & South: Crosswalk,"{""coordinates"": [[-79.45579400317828, 43.670336004393704]], ""type"": ""MultiPoint""}"
1019,1023,DAVENPORT RD,None,SPADINA RD,None,None,None,1973-12-13T00:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,1019,1140818,13462293,1,,,,1019,,,,,2021-12-09T00:00:00,,2018-09-20T00:00:00,"North & East: None, South: Crosswalk","{""coordinates"": [[-79.40812999901493, 43.67741599825786]], ""type"": ""MultiPoint""}"
1020,1024,ST CLAIR AVE W,None,ARLINGTON AVE,None,None,None,1973-09-20T00:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1020,1140229,13461675,1,1,,,1020,,,,,,2023-12-21T00:00:00,2023-12-21T00:00:00,"Vision Zero 
2023 SLR Retainer","{""coordinates"": [[-79.42887000519262, 43.681047999819654]], ""type"": ""MultiPoint""}"
1021,1025,KINGSTON RD,None,CHINE DR,None,None,None,1973-08-22T00:00:00,SCATS,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1021,8794156,13455525,,,,,1021,,,,2022-01-21T00:00:00,2022-01-21T00:00:00,2022-01-21T00:00:00,2022-01-21T00:00:00,None,"{""coordinates"": [[-79.24507299422964, 43.71411400002909]], ""type"": ""MultiPoint""}"
1022,1026,BIRCHMOUNT RD,350m NORTH OF,BONIS AVE,PRIVATE ACCESS,#2450-2500 BIRCHMOUNT RD (STEVEN LEACOCK),None,1998-07-10T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1022,30000678,,,,,,1022,,,,2020-12-01T00:00:00,2020-12-01T00:00:00,2020-12-01T00:00:00,2020-12-01T00:00:00,None,"{""coordinates"": [[-79.30066000324011, 43.786619997847666]], ""type"": ""MultiPoint""}"
1023,1027,KINGSTON RD,None,BELLAMY RD S,RAVINE DR,None,None,1973-10-15T00:00:00,SCATS,None,SA2,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,1023,2676305,13452797,1,,,,1023,,,,,,2021-06-07T00:00:00,2021-06-07T00:00:00,LPI implemented on Bellamy RD/Ravine DR,"{""coordinates"": [[-79.22456899396175, 43.732060003729764]], ""type"": ""MultiPoint""}"
1024,1028,BRIMLEY RD,None,BRIMORTON DR,WATERFIELD DR,None,None,1973-02-11T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1024,108649,13447880,1,,,,1024,,,,2021-07-05T00:00:00,2021-07-05T00:00:00,2021-07-05T00:00:00,2021-07-05T00:00:00,None,"{""coordinates"": [[-79.25954499528338, 43.7652009983138]], ""type"": ""MultiPoint""}"
1025,1029,MIDLAND AVE,None,MIDWEST RD,None,None,MIDWEST N INTERSECTION,1973-08-24T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,1025,108915,13447807,1,,,,1025,,,,2021-08-18T00:00:00,2021-08-18T00:00:00,2021-08-18T00:00:00,2021-08-18T00:00:00,None,"{""coordinates"": [[-79.27055699651349, 43.76588000060362]], ""type"": ""MultiPoint""}"
1026,1030,AVENUE RD,None,ROSELAWN AVE,None,None,None,1973-05-09T00:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1026,1138284,13456838,,,,,1026,,,,2021-03-26T00:00:00,2021-03-26T00:00:00,2021-03-26T00:00:00,2021-03-26T00:00:00,None,"{""coordinates"": [[-79.41043499643366, 43.70857299628932]], ""type"": ""MultiPoint""}"
1027,1031,WARDEN AVE,None,BERTRAND AVE,PRIVATE ACCESS,None,None,1973-11-22T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1027,111225,13452791,,,,,1027,,,,2021-04-01T00:00:00,2021-04-01T00:00:00,2021-04-01T00:00:00,2021-04-01T00:00:00,None,"{""coordinates"": [[-79.28972999673734, 43.733080001913386]], ""type"": ""MultiPoint""}"
1028,1032,MORNINGSIDE AVE,None,401 C E MORNINGSIDE AVE S RAMP,None,None,HWY 401 SOUTH INTERSECTION,1974-01-25T01:00:00,TransSuite,None,SAV,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1028,13502955,13502957,,,,,1028,,,,,,,,None,"{""coordinates"": [[-79.19650799599185, 43.794867003810324]], ""type"": ""MultiPoint""}"
1029,1033,LAWRENCE AVE E,None,BENNETT RD,None,None,None,1974-01-03T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1029,107677,13446543,,,,,1029,,,,,2022-02-16T00:00:00,,2022-02-16T00:00:00,None,"{""coordinates"": [[-79.16633599906699, 43.77288000446594]], ""type"": ""MultiPoint""}"
1030,1034,PHARMACY AVE,None,TEESDALE PL,None,None,None,1974-01-25T01:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1030,2295440,13458358,1,,,,1030,,,,2024-05-30T00:00:00,2024-05-30T00:00:00,2024-05-30T00:00:00,2024-05-30T00:00:00,None,"{""coordinates"": [[-79.28539900394244, 43.696997996265644]], ""type"": ""MultiPoint""}"
1031,1035,FINCH AVE E,None,WARDEN AVE,None,None,None,1974-02-05T01:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1031,9392838,13443837,1,,,,1031,,,,,,,,None,"{""coordinates"": [[-79.31576600319899, 43.79677200210725]], ""type"": ""MultiPoint""}"
1032,1036,KIPLING AVE,None,HUNTING RIDGE,CLEMENT RD,None,None,1974-08-11T00:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1032,3008335,13461907,,,,,1032,,,,2023-03-28T00:00:00,2023-03-28T00:00:00,2023-03-28T00:00:00,2023-03-28T00:00:00,None,"{""coordinates"": [[-79.55281099704409, 43.68137899883503]], ""type"": ""MultiPoint""}"
1033,1037,WYNFORD DR,None,DVP S WYNFORD DR RAMP,None,None,WYNFORD RAMP,1984-11-30T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1033,444094,13453914,,,,,1033,,1,,,,,2021-06-23T00:00:00,None,"{""coordinates"": [[-79.3308889961383, 43.726666996727005]], ""type"": ""MultiPoint""}"
1034,1038,STEELES AVE E,None,DON MILLS RD,None,None,None,1974-02-19T01:00:00,TransSuite,None,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,1034,436136,13442528,1,,,,1034,,,,,,,,None,"{""coordinates"": [[-79.36077600365118, 43.811183997038164]], ""type"": ""MultiPoint""}"
1035,1039,DON MILLS RD,None,MCNICOLL AVE,None,None,None,1973-12-31T00:00:00,SCATS,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1035,30006234,13443573,,,,,1035,,,,,,,,None,"{""coordinates"": [[-79.35414199560158, 43.79960800322472]], ""type"": ""MultiPoint""}"
1036,1040,DON MILLS RD E,None,DEERFORD RD,None,None,None,1974-09-01T00:00:00,SCATS,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,2,1036,30044625,13445327,1,,,,1036,,,,2023-10-11T00:00:00,2024-06-18T00:00:00,2023-10-11T00:00:00,,None,"{""coordinates"": [[-79.35073299524268, 43.78541500428585]], ""type"": ""MultiPoint""}"
1037,1041,DON MILLS RD E,None,GODSTONE RD,PRIVATE ACCESS,None,None,1974-09-01T00:00:00,SCATS,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,1037,9950377,13445637,1,,,,1037,,,,,2023-12-11T00:00:00,2023-12-11T00:00:00,2023-12-11T00:00:00,LPI implemented as part of SCOOT to TransSuite Conversion,"{""coordinates"": [[-79.3491250024853, 43.782766996316]], ""type"": ""MultiPoint""}"
1038,1042,DON MILLS RD W,210m NORTH OF,GOODVIEW RD,None,None,None,1974-10-31T23:00:00,SCATS,None,PA - MPS,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,1,1038,437459,,1,,,,1038,,,,,,,,Ped signal (no L or R turns),"{""coordinates"": [[-79.35349000222186, 43.78549999606639]], ""type"": ""MultiPoint""}"
1039,1043,DON MILLS RD W,185m SOUTH OF,GOODVIEW RD,None,None,NORTH OF ESTERBROOKE AVE,1974-09-04T00:00:00,SCATS,None,PA - MPS,1.0 m/s (FDW based on full crossing @1.2m/s),None,1,1039,9950387,,,,,,1039,,,,,,,,Ped signal (no L or R turns),"{""coordinates"": [[-79.3522399962907, 43.78226999879567]], ""type"": ""MultiPoint""}"
1040,1044,DON MILLS RD,None,MALLARD RD,None,None,None,1974-01-18T01:00:00,SCATS,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,1040,441373,13450514,1,,,,1040,,,,2023-10-12T00:00:00,2023-10-12T00:00:00,,,LPI on North & South Crosswalks,"{""coordinates"": [[-79.34635200174425, 43.74821400007923]], ""type"": ""MultiPoint""}"
1041,1045,DON MILLS RD,None,CHIPPING RD,None,None,None,1974-01-18T01:00:00,SCATS,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1041,8837833,13451065,,,,,1041,,,,2023-10-16T00:00:00,,2023-10-16T00:00:00,,None,"{""coordinates"": [[-79.3454449965527, 43.74473499853007]], ""type"": ""MultiPoint""}"
1042,1046,DON MILLS RD,None,LEITH HILL RD,PRIVATE ACCESS,WEST ENTRANCE TO FAIRVIEW MALL,None,1974-09-04T00:00:00,SCATS,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1042,438191,13446349,1,,,,1042,,,,,,2020-12-23T00:00:00,2020-12-23T00:00:00,None,"{""coordinates"": [[-79.34789699842486, 43.777127999262646]], ""type"": ""MultiPoint""}"
1043,1047,DUFFERIN ST,None,BOWIE AVE,WHITMORE AVE,None,None,1974-04-06T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1043,9655858,13458615,1,1,,,1043,,,,2025-10-17T00:00:00,2025-10-17T00:00:00,2025-10-17T00:00:00,2025-10-17T00:00:00,None,"{""coordinates"": [[-79.451140003731, 43.6979159982949]], ""type"": ""MultiPoint""}"
1044,1048,DANFORTH AVE,None,LINNSMORE CRES,None,None,None,1974-06-15T00:00:00,TransSuite,None,SAP,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,3,1044,14050911,13461240,1,,,,1044,,,,2020-12-14T00:00:00,2020-12-14T00:00:00,2020-12-14T00:00:00,2020-12-14T00:00:00,None,"{""coordinates"": [[-79.32978100498212, 43.68206099646893]], ""type"": ""MultiPoint""}"
1045,1049,SHEPPARD AVE W,None,CHESSWOOD DR,None,None,None,1974-03-25T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1045,10071080,13449668,,,,,1045,,,,,,2021-01-12T00:00:00,2021-01-12T00:00:00,None,"{""coordinates"": [[-79.47429600161804, 43.75553400174382]], ""type"": ""MultiPoint""}"
1046,1050,LESLIE ST,None,CLANSMAN BLVD,CASTLEBURY CRES,None,None,1973-06-09T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1046,436598,13443979,1,,,,1046,,,,2019-12-04T00:00:00,2019-12-04T00:00:00,2021-02-18T00:00:00,2021-02-18T00:00:00,East & West: Crosswalk,"{""coordinates"": [[-79.36952000564355, 43.7964909975643]], ""type"": ""MultiPoint""}"
1047,1051,KENNEDY RD,None,MERRIAN RD,PRIVATE ACCESS,KENNEDY PARK SHOPPING CENTRE,None,1974-05-06T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1047,60008361,13453613,,,,,1047,,,,2022-01-21T00:00:00,2022-01-21T00:00:00,2022-01-21T00:00:00,2022-01-21T00:00:00,None,"{""coordinates"": [[-79.26591800502595, 43.72740800085717]], ""type"": ""MultiPoint""}"
1048,1052,PHARMACY AVE,None,HUNTINGWOOD DR,None,None,None,1974-08-22T00:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1048,107072,13445713,1,,,,1048,,,,2023-07-21T00:00:00,2023-07-21T00:00:00,2023-07-21T00:00:00,2023-07-21T00:00:00,SLR 2023,"{""coordinates"": [[-79.32016399588059, 43.78167600339818]], ""type"": ""MultiPoint""}"
1049,1053,KINGSTON RD,None,SCARBOROUGH GOLF CLUB RD,None,None,None,1974-11-10T00:00:00,SCATS,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1049,60008472,13450532,,,,,1049,,,,,,2021-01-11T00:00:00,2021-01-11T00:00:00,None,"{""coordinates"": [[-79.2093489960157, 43.74600200407888]], ""type"": ""MultiPoint""}"
1050,1054,YORK MILLS RD,None,FENN AVE,None,None,None,1973-05-10T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1050,441577,13450773,,,,,1050,,,,2023-12-19T00:00:00,2023-12-19T00:00:00,2020-02-21T00:00:00,2020-02-21T00:00:00,None,"{""coordinates"": [[-79.38901000523171, 43.747032999513486]], ""type"": ""MultiPoint""}"
1051,1055,PARK LAWN RD,None,PARK LAWN GARDINER W RAMP,PRIVATE ACCESS,ONTARIO FOOD TERMINAL,NORTH INTERSECTION,1974-12-19T00:00:00,SCOOT,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1051,30069697,13469460,,,,,1051,,,,,,,,None,"{""coordinates"": [[-79.4877539985203, 43.62710499825238]], ""type"": ""MultiPoint""}"
1052,1056,THE EAST MALL,None,NORTH QUEEN ST,None,None,None,1973-11-23T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1052,5674924,13469836,,1,,,1052,,,,,,2022-05-16T00:00:00,2022-05-16T00:00:00,None,"{""coordinates"": [[-79.54941500033704, 43.62047500029841]], ""type"": ""MultiPoint""}"
1053,1057,KENNEDY RD,None,BERTRAND AVE,None,None,None,1974-07-23T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,1053,2905626,13452055,1,,,,1053,,,,2021-08-18T00:00:00,2021-08-18T00:00:00,2021-08-18T00:00:00,2021-08-18T00:00:00,None,"{""coordinates"": [[-79.27013100287985, 43.737453001647786]], ""type"": ""MultiPoint""}"
1054,1058,GUILDWOOD PKWY,None,LIVINGSTON RD,None,None,None,1974-08-10T00:00:00,TransSuite,None,SA2,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,1054,110089,13450294,1,,,,1054,,,,2021-06-01T00:00:00,2021-06-01T00:00:00,2021-06-01T00:00:00,2021-06-01T00:00:00,LPI is in all directions.,"{""coordinates"": [[-79.19924100108071, 43.747506003922076]], ""type"": ""MultiPoint""}"
1055,1059,FINCH AVE E,None,BRAHMS AVE,LINUS RD,None,None,1974-09-12T00:00:00,SCATS,None,SA2,0.9 m/s (FDW based on full crossing @ 1.1 m/s),None,4,1055,436917,13444508,,,,,1055,,,,2023-09-21T00:00:00,2023-09-21T00:00:00,2023-09-21T00:00:00,2023-09-21T00:00:00,None,"{""coordinates"": [[-79.35807400297479, 43.7919620019442]], ""type"": ""MultiPoint""}"
1056,1060,BIRCHMOUNT RD,None,BAY MILLS BLVD,BONIS AVE,None,None,1974-08-11T00:00:00,TransSuite,None,SA2,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,1056,106992,13445461,1,,,,1056,,,,,,2020-12-09T00:00:00,2020-12-09T00:00:00,None,"{""coordinates"": [[-79.29934800379709, 43.78359400110604]], ""type"": ""MultiPoint""}"
1057,1061,FINCH AVE W,None,ROMFIELD LANE,PRIVATE ACCESS,CARDINAL MCGUIGAN H.S.,None,1984-01-15T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1057,439769,13448693,,1,,,1057,,,,,,,,None,"{""coordinates"": [[-79.49364199647123, 43.76260000253178]], ""type"": ""MultiPoint""}"
1058,1062,BLOOR ST W,None,SYMINGTON AVE,STERLING RD,None,None,1974-07-31T00:00:00,TransSuite,None,SAP,0.9 m/s (FDW based on full crossing @ 1.1 m/s),None,4,1058,11394542,13465705,,,,,1058,,,,,,2023-09-25T00:00:00,2023-09-25T00:00:00,"Due to the fixed EBLA, east-west LPI is not implemented.","{""coordinates"": [[-79.44777199853564, 43.65730100288117]], ""type"": ""MultiPoint""}"
1059,1063,DUFFERIN ST,None,DUFFERIN PARK AVE,None,None,None,1974-07-25T00:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1059,14018264,13465703,,1,,,1059,,,,2021-03-29T00:00:00,2021-03-29T00:00:00,,,None,"{""coordinates"": [[-79.43431300329075, 43.657122000602804]], ""type"": ""MultiPoint""}"
1060,1064,BATHURST ST,None,WELLS ST,None,None,None,1973-12-28T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,1060,10664097,13463530,1,1,,,1060,,,,2021-12-13T00:00:00,2021-12-13T00:00:00,2021-12-13T00:00:00,,None,"{""coordinates"": [[-79.41317899668013, 43.67009699855207]], ""type"": ""MultiPoint""}"
1061,1065,RENFORTH DR,None,RATHBURN RD,None,None,None,1974-04-12T00:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1061,11048448,13466944,,,,,1061,,,,,,,,None,"{""coordinates"": [[-79.57949999617134, 43.651407999200266]], ""type"": ""MultiPoint""}"
1062,1066,ALBION RD,None,WESTON RD ALBION RD RAMP,None,None,WESTON RD S/B RAMP,1972-06-28T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1062,445295,13455618,,,,,1062,,,,2024-12-16T00:00:00,2024-12-16T00:00:00,2024-12-16T00:00:00,2024-12-16T00:00:00,None,"{""coordinates"": [[-79.53909199985256, 43.71765499668754]], ""type"": ""MultiPoint""}"
1063,1067,DON MILLS RD,None,SENECA HILL DR,None,None,None,1974-11-18T00:00:00,SCATS,None,SA2,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,1063,10906429,13444705,1,,,,1063,,,,2019-07-31T00:00:00,2019-07-31T00:00:00,2023-11-28T00:00:00,2023-11-28T00:00:00,None,"{""coordinates"": [[-79.35415899585723, 43.79027299646658]], ""type"": ""MultiPoint""}"
1064,1068,KEELE ST,None,JUNCTION RD,None,None,None,1973-07-18T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1064,9085387,13464031,,,,,1064,,,,2023-04-28T00:00:00,2023-04-28T00:00:00,2023-04-28T00:00:00,2023-04-28T00:00:00,None,"{""coordinates"": [[-79.46561399494077, 43.66786199762353]], ""type"": ""MultiPoint""}"
1065,1069,BLOOR ST W,None,RESURRECTION RD,PRIVATE ACCESS,POLICE DIVISION #22,None,1973-03-08T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1065,14204404,14203989,,,,,1065,,,,,,,,None,"{""coordinates"": [[-79.53081499859891, 43.64303599661001]], ""type"": ""MultiPoint""}"
1066,1070,FINCH AVE E,None,HEATHVIEW AVE,TOLLERTON AVE,None,None,1974-12-09T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1066,437351,13445290,,1,,,1066,,,,,,,,None,"{""coordinates"": [[-79.38664599452673, 43.786254000116244]], ""type"": ""MultiPoint""}"
1067,1071,ALBION RD,None,ARCOT BLVD,IRWIN RD,None,None,1974-09-09T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1067,907512,13454299,,,,,1067,,,,2025-11-26T00:00:00,2025-11-26T00:00:00,2025-11-26T00:00:00,2025-11-26T00:00:00,None,"{""coordinates"": [[-79.55208799637022, 43.726738003911265]], ""type"": ""MultiPoint""}"
1068,1072,BRIMLEY RD,None,PROGRESS AVE,None,None,None,1974-07-10T00:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1068,107766,13446436,,,,,1068,,,,,,,,None,"{""coordinates"": [[-79.26318300577111, 43.77528100047068]], ""type"": ""MultiPoint""}"
1069,1073,CHRISTIE ST,None,BARTON AVE,None,None,None,1974-11-22T00:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1069,30039607,13464157,,,,,1069,,,,,,,,None,"{""coordinates"": [[-79.419624005229, 43.666572001392225]], ""type"": ""MultiPoint""}"
1070,1074,EGLINTON AVE W,None,GLENHOLME AVE,PRIVATE ACCESS,None,None,1974-07-11T00:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1070,8677495,13458815,,,,,1070,,,,,,,,None,"{""coordinates"": [[-79.44531299937921, 43.69676400273547]], ""type"": ""MultiPoint""}"
1071,1076,JANE ST,None,HANEY AVE,None,None,None,1974-08-11T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,1071,9486977,13463074,1,1,,,1071,,,,2023-08-03T00:00:00,2023-08-03T00:00:00,2023-08-03T00:00:00,2023-08-03T00:00:00,2023 LPI Retainer Locations,"{""coordinates"": [[-79.4947459943588, 43.67398899641828]], ""type"": ""MultiPoint""}"
1072,1077,JANE ST,None,RITA DR,STANLEY RD,None,None,1974-07-11T00:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1072,10092803,13451700,,1,,,1072,,,,2025-10-20T00:00:00,2025-10-20T00:00:00,2025-10-20T00:00:00,2025-10-20T00:00:00,None,"{""coordinates"": [[-79.51414300064843, 43.74312199627323]], ""type"": ""MultiPoint""}"
1073,1078,YORK MILLS RD,None,UPPER HIGHLAND CRES,HIGHLAND CRES,None,None,1974-04-06T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1073,441798,13451068,,,,,1073,,,,,,,,None,"{""coordinates"": [[-79.39644000546309, 43.74545299674214]], ""type"": ""MultiPoint""}"
1074,1079,YORK MILLS RD,None,BANBURY RD,CHIPSTEAD RD,None,None,1973-02-11T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1074,441109,13450081,1,,,,1074,,,,2021-11-04T00:00:00,2021-11-04T00:00:00,2021-11-04T00:00:00,2021-11-04T00:00:00,None,"{""coordinates"": [[-79.37045399830176, 43.75145600069852]], ""type"": ""MultiPoint""}"
1075,1080,MIDLAND AVE,None,STANSBURY CRES,None,None,None,1974-08-21T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1075,2920092,13451218,,,,,1075,,,,,2023-04-18T00:00:00,2023-04-18T00:00:00,,Activated for 2023 Vision Zero,"{""coordinates"": [[-79.26146599972449, 43.742539998678794]], ""type"": ""MultiPoint""}"
1076,1081,MIDLAND AVE,None,DORCOT AVE,None,None,None,1974-08-21T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1076,109359,13448907,,,,,1076,,,,2023-10-17T00:00:00,2023-10-17T00:00:00,2023-10-17T00:00:00,2023-10-17T00:00:00,Signal Op for Line 3 Bus Replacement,"{""coordinates"": [[-79.26744700153014, 43.75795299932235]], ""type"": ""MultiPoint""}"
1077,1082,ELLESMERE RD,None,ORTON PARK RD,MILITARY TRL,None,None,1974-04-29T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1077,107198,13445757,1,,,,1077,1,,1,2024-12-10T00:00:00,2024-12-10T00:00:00,2021-03-19T00:00:00,2021-03-19T00:00:00,None,"{""coordinates"": [[-79.21714200587701, 43.77975199561405]], ""type"": ""MultiPoint""}"
1078,1083,BAYVIEW AVE,None,TRUMAN RD,FIFESHIRE RD,None,None,1990-12-22T00:00:00,SCOOT,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1078,439829,13448765,,,,,1078,,,1,,2022-10-07T00:00:00,,,LPI is on South leg.,"{""coordinates"": [[-79.38663500292904, 43.760586003211856]], ""type"": ""MultiPoint""}"
1079,1084,KENNEDY RD,None,MUNHAM GT,PRIVATE ACCESS,None,None,1974-11-11T00:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1079,11714723,13448718,1,,,,1079,,,,2018-09-06T00:00:00,2018-09-06T00:00:00,,,East & West: Crosswalk,"{""coordinates"": [[-79.27867800336688, 43.75935200313794]], ""type"": ""MultiPoint""}"
1080,1085,VICTORIA PARK AVE,None,OLD SHEPPARD AVE,HUNTINGWOOD DR,None,None,1973-05-17T00:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1080,10179959,13445899,1,,,,1080,,,,2020-12-04T00:00:00,2020-12-04T00:00:00,2019-12-04T00:00:00,2019-12-04T00:00:00,North & South: Crosswalk,"{""coordinates"": [[-79.32539499769354, 43.780351997835794]], ""type"": ""MultiPoint""}"
